ID,plot_num,plot_type,species,DBH_cm,dist_m,aspect_degrees
1,6,matrix,FAGR,19.3,7.23,41
2,6,matrix,BEAL,35,10.65,100
3,6,matrix,ACSA,11.9,11.19,92
4,6,matrix,ACSA,32.3,7.55,108
5,6,matrix,BEAL,18.8,6.74,110
6,6,matrix,ACSA,14,10.42,154
7,6,matrix,ACSA,36.4,10.43,162
8,6,matrix,FAGR,16.3,8.97,190
9,6,matrix,FAGR,13.7,8.46,190
10,6,matrix,ACSA,41.2,7.92,241
11,6,matrix,ACSA,38.5,7.2,243
12,6,matrix,ACSA,28.8,4.69,205
13,6,matrix,ACSA,40.2,2.07,241
14,6,matrix,ACSA,29,6.51,303
15,6,matrix,ACSA,47.4,4.31,338
16,6,matrix,ACSA,11.4,5.94,320
17,6,matrix,ACSA,21.5,7.14,337
18,6,matrix,FAGR,26.1,9.03,17
19,6,matrix,FAGR,21.4,9.07,18
20,6,matrix,FAGR,19.2,8.85,28
