Plot,Subplot,Species,DBH
C4,SE,RO,33.5
C4,SE,CO,5.7
C4,SE,RO,3.6
C4,SE,CO,35.9
C4,SE,RO,46
C4,SE,CO,43.9
C4,SE,CO,35.4
C4,SE,RO,4.7
C4,SE,RO,6.5
C4,SE,RO,39.8
C4,E,RO,8
C4,SE,RO,48.9
C4,SE,CO,47.5
C4,E,CO,29.2
C4,SE,RO,7.9
C4,E,RO,32.9
C4,SE,RO,6
C4,SE,RO,37.5
C4,E,CO,42.2
C4,S,CO,18.5
C4,E,CO,46.1
C4,S,RO,34.2
C4,S,RO,53.3
C4,S,RO,13.8
C4,S,CO,30.3
C4,E,CO,40.3
C4,E,RO,34.8
C4,sw,RO,na
C4,C,RO,38.5
C4,C,RO,26.3
C4,C,CO,27.8
C4,C,RO,35.2
C4,C,RO,na
C4,C,SWO,42.2
C4,C,RO,22.1
C4,C,CO,na
C4,C,RO,24.1
C4,C,RO,6.8
C4,E,RO,na
C4,E,RO,7
C4,C,RO,8.6
C4,E,CO,37.3
C4,C,CO,35.3
C4,E,RO,29
C4,C,CO,9.1
C4,E,RO,na
C4,E,RO,13.6
C4,E,RO,4.7
C4,E,CO,11.2
C4,E,RO,5
C4,E,CO,20.3
C4,E,CO,32.9
C4,E,CO,9.1
C4,E,CO,6
C4,E,CO,41.9
C4,E,CO,30.9
C4,E,RO,5.6
C4,E,RO,9.8
C4,E,RO,10.5
C4,E,CO,na
C4,E,RO,11
C4,E,CO,12
C4,E,CO,38.8
C4,E,RO,11.8
C4,E,CO,13.5
C4,E,RO,10.1
C4,E,RO,13.3
C4,E,CO,9.4
C4,NE,CO,24.6
C4,ne,RO,6.9
C4,NE,RO,9.8
C4,NE,CO,7.3
C4,NE,CO,8.7
C4,NE,CO,16.5
C4,NE,RO,8.8
C4,NE,CO,na
C4,NE,CO,7.8
C4,NE,CO,22.8
C4,NE,CO,30.7
C4,NE,RO,7.5
C4,NE,CO,30.8
C4,NE,CO,na
C4,NE,CO,13.6
C4,NE,CO,11.2
C4,NE,CO,38.8
C4,NE,RO,13
C4,NE,CO,10.5
C4,NE,CO,10.8
C4,NE,CO,30.1
C4,NE,RO,6.5
C4,NE,RO,10.1
C4,NE,RO,6
C4,NE,RO,8.5
C4,NE,CO,26.7
C4,NE,CO,6.8
C4,NE,CO,7
C4,NE,CO,33.1
C4,NE,CO,7.2
C4,NE,CO,28.1
C4,NE,RO,12.3
C4,NE,RO,11.3
C4,NE,RO,na
C4,NE,CO,3.4
C4,NE,RO,20.4
C4,NE,CO,na
C4,NE,RO,10.7
C4,NE,RO,na
C4,NE,RO,12.5
C4,NE,RO,9.1
C4,NE,CO,30.5
C4,N,RO,11.2
C4,N,RO,6.3
C4,N,RO,8.3
C4,N,RO,4.8
C4,N,CO,36.8
C4,N,CO,12.5
C4,N,CO,na
C4,NE,CO,27.2
C4,NE,RO,8.2
C4,NE,RO,8.7
C4,NE,RO,4.9
C4,NE,RO,9.2
C4,NE,CO,6.4
C4,NE,RO,5.4
C4,NE,CO,18.7
C4,NE,CO,na
C4,NE,RO,6.8
C4,NE,CO,30
C4,NE,RO,8.2
C4,NE,CO,11
C4,C,RO,10.2
C4,C,CO,32.5
C4,C,RO,6.9
C4,C,RO,8.8
C4,C,RO,5.8
C4,C,CO,32.6
C4,C,CO,38.8
C4,C,RO,6.8
C4,C,RO,5.9
C4,N,CO,7.5
C4,N,CO,42.8
C4,N,RO,10.8
C4,N,CO,38.3
C4,N,CO,7.5
C4,N,CO,na
C4,N,CO,30.8
C4,N,CO,10.3
C4,N,CO,37.9
C4,N,RO,10.2
C4,N,RO,6.5
C4,N,RO,4
C4,N,CO,36.2
C4,N,CO,54.6
C4,N,CO,na
C4,N,CO,5.9
C4,N,CO,6.9
C4,NW,RO,57.5
C4,NW,RO,52
C4,NW,RO,53.9
C4,NW,RO,51
C4,NE,RO,11.3
C4,W,CO,40.1
C4,W,CO,36.1
C4,NW,RO,46.5
C4,NW,RO,45.8
C4,NW,RO,39.9
C4,NW,CO,24.7
C4,NW,CO,4
C4,NW,CO,47.4
C4,N,RO,30.9
C4,N,CO,34.5
C4,C,RO,44.3
C4,W,CO,39.3
C4,W,RO,54.9
C4,W,CO,37
C4,W,RO,44.5
C4,W,RO,59.2
C4,W,RO,64.4
C4,W,RO,57.6
C4,W,RO,51.5
C4,NE,CO,3.8
C4,W,RO,16.5
C4,C,CO,23.6
C4,SW,CO,44.7
C4,SW,RO,59.4
C4,E,RO,6.1
C4,SE,RO,5.9
C4,SE,RO,6.8
C4,E,RO,8.7
C4,E,RO,9.1
C4,E,RO,13.2
C4,E,CO,4
C4,E,CO,5.5
C4,E,CO,4.9
